"species","decimalLongitude","decimalLatitude"
"Didelphis virginiana",-88.366667,17.766667
"Didelphis virginiana",-117.55481,33.788534
"Didelphis virginiana",-90.9559404,30.4432014
"Didelphis virginiana",-97.120878,15.9216262
"Didelphis virginiana",-81.349371,27.183483
"Didelphis virginiana",-70.86035,42.24331
"Didelphis virginiana",-97.401005,20.943399
"Didelphis virginiana",-92.056944,16.944444
"Didelphis virginiana",-94.2088673,16.59299
"Didelphis virginiana",-84.815308,43.590648
"Didelphis virginiana",-97.520554,20.016666
"Didelphis virginiana",-104.564333,24.0225
"Didelphis virginiana",-90.648936,31.5791667
"Didelphis virginiana",-104.5,19.24
"Didelphis virginiana",-100.04694,25.4975
"Didelphis virginiana",-91.7649622,30.7451898
"Didelphis virginiana",-72.8156,41.2667
"Didelphis virginiana",-100.598765,31.245861
"Didelphis virginiana",-97.068167,47.90585
"Didelphis virginiana",-95.3553592,40.0237207
"Didelphis virginiana",-100.74954,31.657368
"Didelphis virginiana",-96.5948342,40.0340562
"Didelphis virginiana",-92.0189669,30.2072064
"Didelphis virginiana",-122.327528,38.31774
"Didelphis virginiana",-94.9892,37.22762
"Didelphis virginiana",-82.39111,29.55639
"Didelphis virginiana",-100.571258,31.40586
"Didelphis virginiana",-92.638333,16.748611
"Didelphis virginiana",-80.5414,42.63616
"Didelphis virginiana",-105.062,19.50986
"Didelphis virginiana",-88.931792,36.343239
"Didelphis virginiana",-99.353332,19.291944
"Didelphis virginiana",-92.3759773,30.5881932
"Didelphis virginiana",-82.28,29.533478
"Didelphis virginiana",-81.35167,27.18294
"Didelphis virginiana",-106.41572,23.23655
"Didelphis virginiana",-88.705556,35.880833
"Didelphis virginiana",-89.284444,20.399722
"Didelphis virginiana",-100.629722,17.220833
"Didelphis virginiana",-82.137944,31.010468
"Didelphis virginiana",-91.5679609,31.8761556
"Didelphis virginiana",-81.885395,31.607436
"Didelphis virginiana",-82.63639,28.96944
"Didelphis virginiana",-98.2645414,23.4557192
"Didelphis virginiana",-86.177086,36.402437
"Didelphis virginiana",-99.368611,19.297778
"Didelphis virginiana",-92.1419722,30.8291862
"Didelphis virginiana",-122.283042,37.840929
"Didelphis virginiana",-97.587396,35.18593
"Didelphis virginiana",-99.196,19.293
